Task_Completion_Rate,Average_Completion_Time,Feedback_Rating,Attendance,Tasks_Completed,Late_Tasks,Performance_Score
95,3.5,4.8,98,25,1,94
88,4.2,4.5,95,22,2,87
72,6.5,3.5,82,15,5,68
60,8.0,3.0,75,12,7,55
91,4.0,4.6,96,24,1,90
78,5.5,4.0,88,18,3,76
55,9.0,2.5,68,10,8,48
98,3.0,5.0,100,28,0,98
85,4.8,4.2,91,20,2,83
67,7.0,3.2,79,14,6,61
93,3.8,4.7,97,26,1,92
75,6.0,3.8,85,17,4,71
89,4.5,4.4,93,21,2,85
62,8.5,2.8,72,11,7,51
97,3.2,4.9,99,27,0,96
80,5.0,4.1,89,19,3,78
70,6.8,3.6,80,15,5,65
92,4.0,4.8,95,23,1,90
58,9.2,2.4,65,9,9,45
86,4.6,4.3,92,21,2,84
